ID ORDEN,FECHA DE ORDEN,FECHA DE DESPACHO,PRIORIDAD,ID CLIENTE,CLIENTE,SEGMENTO DE CLIENTE,CATEGORIA DE PRODUCTO,SUBCATEGORIA DE PRODUCTO,PRODUCTO,CIUDAD,PRECIO UNITARIO,CANTIDAD DE PEDIDO,DESCUENTO x unidad,COSTO DE ENVIO
359,18/06/2015,"viernes, 19 de Junio de 2015",Medium,553,Kristine Connolly,Corporate,Furniture,Tables,Bevis 36 x 72 Conference Tables,California,124.49,56,0.08,51.94
548,20/03/2015,"sábado, 21 de Marzo de 2015",Critical,3106,Alexander O'Brien,Home Office,Office Supplies,Labels,Avery 481,Texas,3.08,75,0.04,0.99
548,20/03/2015,"domingo, 22 de Marzo de 2015",Critical,3106,Alexander O'Brien,Home Office,Technology,Telephones and Communication,V3682,Texas,125.99,47,0.04,4.2
548,20/03/2015,"sábado, 21 de Marzo de 2015",Critical,3106,Alexander O'Brien,Home Office,Office Supplies,Paper,Xerox 1976,Texas,6.48,53,0.02,5.9
646,21/05/2015,"viernes, 22 de Mayo de 2015",High,1106,Maxine Collier Grady,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Forged Steel Scissors with Black Enamel Handles,Texas,9.31,61,0.01,3.98
962,05/05/2015,"jueves, 07 de Mayo de 2015",Low,2382,Geoffrey Saunders,Small Business,Office Supplies,Binders and Binder Accessories,GBC Therma-A-Bind 250T Electric Binding System, New York,122.99,48,0.06,19.99
962,05/05/2015,"jueves, 07 de Mayo de 2015",Low,2382,Geoffrey Saunders,Small Business,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter", New York,68.81,68,0.08,60
2433,21/02/2015,"sábado, 21 de Febrero de 2015",Not Specified,553,Kristine Connolly,Corporate,Technology,Office Machines,Lexmark 4227 Plus Dot Matrix Printer,California,2036.48,25,0.07,14.7
3042,20/05/2015,"jueves, 21 de Mayo de 2015",Medium,699,Jenny Gold,Consumer,Office Supplies,Pens & Art Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush", California,4.26,88,0.1,1.2
3138,08/02/2015,"domingo, 08 de Febrero de 2015",Not Specified,471,Ross Simpson,Consumer,Technology,Computer Peripherals,Motorola SB4200 Cable Modem,Georgia,179.99,4,0.07,19.99
3332,04/05/2015,"miércoles, 06 de Mayo de 2015",Critical,342,Jacqueline Noble,Corporate,Office Supplies,Pens & Art Supplies,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Florida,3.26,20,0.01,1.86
3397,22/06/2015,"martes, 23 de Junio de 2015",Medium,102,Caroline Johnston,Consumer,Office Supplies,Binders and Binder Accessories,Avery Durable Binders,Massachusetts,2.88,17,0.09,1.49
3397,22/06/2015,"miércoles, 24 de Junio de 2015",Medium,102,Caroline Johnston,Consumer,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,Massachusetts,19.98,65,0.1,4
3585,22/05/2015,"sábado, 23 de Mayo de 2015",High,181,Wesley Waller,Corporate,Office Supplies,Pens & Art Supplies,Newell 323,California,1.68,116,0.07,1.57
3841,04/04/2015,"lunes, 06 de Abril de 2015",Not Specified,1733,Nina Horne Kelly,Small Business,Office Supplies,Appliances,Euro Pro Shark Stick Mini Vacuum,District of Columbia,60.98,34,0.02,49
3841,04/04/2015,"lunes, 06 de Abril de 2015",Not Specified,1733,Nina Horne Kelly,Small Business,Office Supplies,Binders and Binder Accessories,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,District of Columbia,1270.99,36,0.02,19.99
4839,09/05/2015,"sábado, 09 de Mayo de 2015",Critical,2882,Andrew Gonzalez,Consumer,Office Supplies,Paper,Xerox 227,North Carolina,6.48,35,0.05,8.73
5509,07/04/2015,"martes, 14 de Abril de 2015",Low,272,Eleanor Swain,Home Office,Furniture,Office Furnishings,Eldon Executive Woodline II Cherry Finish Desk Accessories,North Carolina,40.89,21,0.03,18.98
5509,07/04/2015,"domingo, 12 de Abril de 2015",Low,272,Eleanor Swain,Home Office,Office Supplies,Envelopes,Staples Brown Kraft Recycled Clasp Envelopes,North Carolina,5.58,11,0.02,5.3
5920,19/05/2015,"martes, 19 de Mayo de 2015",High,2431,Troy Cassidy,Consumer,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts", California,155.06,14,0.07,7.07
5984,17/06/2015,"lunes, 22 de Junio de 2015",Low,1193,Louis Parrish,Consumer,Furniture,Office Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",District of Columbia,10.64,63,0.03,5.16
5984,17/06/2015,"viernes, 19 de Junio de 2015",Low,1193,Louis Parrish,Consumer,Furniture,Office Furnishings,Staples Plastic Wall Frames,District of Columbia,7.96,17,0.03,4.95
6562,20/06/2015,"lunes, 22 de Junio de 2015",Critical,491,Toni Swanson,Consumer,Technology,Office Machines,Okidata ML395C Color Dot Matrix Printer,New York,1360.14,22,0.02,14.7
7364,08/05/2015,"domingo, 10 de Mayo de 2015",High,2189,Frank Cross,Corporate,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,New York,16.98,22,0.09,12.39
7623,28/04/2015,"jueves, 30 de Abril de 2015",Critical,3011,Tammy Raynor,Corporate,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Massachusetts,300.65,32,0.03,24.49
7623,28/04/2015,"jueves, 30 de Abril de 2015",Critical,3011,Tammy Raynor,Corporate,Technology,Computer Peripherals,US Robotics 56K V.92 Internal PCI Faxmodem,Massachusetts,49.99,67,0.06,19.99
7623,28/04/2015,"miércoles, 29 de Abril de 2015",Critical,3011,Tammy Raynor,Corporate,Office Supplies,Paper,Xerox 1941,Massachusetts,104.85,58,0.1,4.65
7909,03/01/2015,"domingo, 04 de Enero de 2015",High,117,Linda Weiss,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Washington,4.26,29,0.03,1.2
8165,15/04/2015,"viernes, 24 de Abril de 2015",Low,553,Kristine Connolly,Corporate,Office Supplies,Paper,Xerox 1922,California,4.98,63,0.01,7.44
8257,22/03/2015,"jueves, 26 de Marzo de 2015",Low,949,Ernest Oh,Consumer,Office Supplies,Paper,Xerox 1910,California,48.04,18,0.02,5.09
8353,15/05/2015,"domingo, 17 de Mayo de 2015",Medium,491,Toni Swanson,Consumer,Office Supplies,Pens & Art Supplies,Newell 343, New York,2.94,23,0.08,0.96
8994,07/04/2015,"jueves, 09 de Abril de 2015",Low,698,Nelson Hensley,Corporate,Technology,Computer Peripherals,Keytronic Designer 104- Key Black Keyboard,Washington,40.48,36,0.1,19.99
9285,02/01/2015,"domingo, 04 de Enero de 2015",Critical,949,Ernest Oh,Consumer,Office Supplies,Binders and Binder Accessories,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",California,40.98,3,0.06,2.99
9606,27/01/2015,"jueves, 29 de Enero de 2015",Not Specified,898,Harriet Hodges,Small Business,Office Supplies,Paper,Array® Memo Cubes, New York,5.18,44,0.07,2.04
9606,27/01/2015,"martes, 27 de Enero de 2015",Not Specified,898,Harriet Hodges,Small Business,Office Supplies,Labels,Round Specialty Laser Printer Labels,New York ,12.53,47,0.02,0.49
10277,07/04/2015,"miércoles, 08 de Abril de 2015",Medium,1413,Pamela Wiley,Corporate,Technology,Telephones and Communication,g520,Massachusetts,65.99,36,0,5.26
10464,10/02/2015,"miércoles, 11 de Febrero de 2015",Critical,491,Toni Swanson,Consumer,Office Supplies,Paper,Xerox 1897,New York,4.98,41,0.01,6.07
11013,17/04/2015,"sábado, 18 de Abril de 2015",High,2867,Dana Teague,Corporate,Technology,Telephones and Communication,M70,District of Columbia,125.99,2,0.01,8.99
11077,20/03/2015,"martes, 24 de Marzo de 2015",Low,640,Neal Wolfe,Consumer,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,Washington,160.98,30,0.06,35.02
11206,28/06/2015,"miércoles, 01 de Julio de 2015",Low,1193,Louis Parrish,Small Business,Office Supplies,Binders and Binder Accessories,Lock-Up Easel 'Spel-Binder',District of Columbia,28.53,11,0.03,1.49
11206,28/06/2015,"martes, 30 de Junio de 2015",Low,1193,Louis Parrish,Small Business,Technology,Computer Peripherals,Zoom V.92 USB External Faxmodem,District of Columbia,49.99,48,0.09,19.99
11527,02/01/2015,"domingo, 04 de Enero de 2015",Medium,349,Kim Weiss,Home Office,Furniture,Office Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Florida,99.23,54,0.04,8.99
11712,26/04/2015,"martes, 28 de Abril de 2015",Low,2491,Sean N Boyer,Consumer,Office Supplies,Pens & Art Supplies,Newell 336,California,4.28,9,0.06,0.94
12224,12/06/2015,"viernes, 12 de Junio de 2015",High,1745,Herbert Holden,Consumer,Technology,Telephones and Communication,Accessory17,Georgia,35.99,54,0.1,5
12224,12/06/2015,"domingo, 14 de Junio de 2015",High,1745,Herbert Holden,Consumer,Furniture,Tables,Bevis 36 x 72 Conference Tables,Georgia,124.49,4,0.04,51.94
12480,07/01/2015,"jueves, 08 de Enero de 2015",Medium,3079,Andrew Levine,Small Business,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Pennsylvania,137.48,10,0,32.18
13408,14/02/2015,"lunes, 16 de Febrero de 2015",Low,1745,Herbert Holden,Home Office,Furniture,Office Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Georgia,60.65,4,0.04,12.23
13606,26/04/2015,"martes, 28 de Abril de 2015",Not Specified,2382,Geoffrey Saunders,Small Business,Office Supplies,Pens & Art Supplies,Avery Hi-Liter® Fluorescent Desk Style Markers,New York,3.38,34,0.07,0.85
